A&G,,TRADE PRICE,," ",,,,,
A&G,,104,16 GA TIE WIRE 3.5 LBS 360 FT GALVANIZED," 10",E,$14.30 ,$7.15,,
A&G,,104-PVC,TIE WIRE16GA PVC COATED 3 .5 LBS 360'," 10",E,$15.40 ,$7.70,,
A&G,,105,12 GA JACK CHAIN 100' SPOOL WORK LOAD 29LBS," 1",E,$37.24 ,$18.62,,
A&G,,106,12 GA JACK CHAIN 1000' BUCKET WORK LOAD 29 LBS," 1",E,$372.40 ,$186.20,,
A&G,,107,10 GA JACK CHAIN 100' BOX  WORK LOAD 43 LBS," 1",E,$57.50 ,$28.75,,
A&G,,108,10 GA JACK CHAIN 500' BUCKET WORK LOAD 43 LBS," 1",E,$287.50 ,$143.75,,
A&G,,110,"1/2"" CONDUIT BODY GASKET"," 100",C,$37.36 ,$18.68,,
A&G,,111,"3/4"" CONDUIT BODY GASKET"," 100",C,$45.36 ,$22.68,,
A&G,,112,"1""CONDUIT BODY GASKET"," 50",C,$74.70 ,$37.35,,
A&G,,113,"1 1/4""- 1 1/2"" CONDUIT BODY GASKET"," 50",C,$96.06 ,$48.03,,
A&G,,114,"2"" CONDUIT BODY GASKET"," 25",C,$224.12 ,$112.06,,
A&G,,115,"2 1/2""-3"" CONDUIT BODY GASKET"," 25",C,$336.00 ,$168.00,,
A&G,,116,"3 1/2""-4"" CONDUIT BODY GASKET"," 25",C,$644.00 ,$322.00,,
A&G,,120,RUBBER PIG TAIL," 50",C,$249.46 ,$124.73,,
A&G,,121,PORC KEYLESS LAMPHOLDER," 50",C,$267.40 ,$133.70,,
A&G,,122,PORC PULLCHAIN LAMPHOLDER," 50",C,$488.76 ,$244.38,,
A&G,,123,PLASTIC KEYLESS LAMPHOLDER," 100",C,$287.50 ,$143.75,,
A&G,,124,PLASTIC PULLCHAIN LAMPHOLDER," 100",C,$511.76 ,$255.88,,
A&G,,220,"3/4"" X 22' RUBBER SPICING TAPE"," 100",C,$387.20 ,$193.60,,
A&G,,221,"2"" X 22' RUBBER SPICING TAPE"," 50",C,$908.60 ,$454.30,,
A&G,,222,"3/4"" X 60' FRICTION TAPE"," 100",C,$407.00 ,$203.50,,
A&G,,223,"2"" X 60' FRICTION TAPE"," 25",C,"$1,166.00" ,$583.00,,
A&G,,224,"3/4"" X 60' PVC BLACK TAPE"," 250",C,$112.36 ,$56.18,,
A&G,,225,"3/4"" X 60' PVC RED TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,226,"3/4"" X 60' PVC WHITE TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,227,"3/4"" X 60' PVC BLUE TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,228,"3/4"" X 60' PVC GREEN TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,229,"3/4"" X 60' PVC ORANGE TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,230,"3/4"" X 60' PVC YELLOW TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,231,"3/4"" X60' PVC BROWN TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,232,"3/4"" X 60' PVC GRAY TAPE"," 100",C,$130.34 ,$65.17,,
A&G,,233,"2"" X 60 YDS GRAY DUCT TAPE"," 24",C,$705.60 ,$352.80,,
A&G,,310,"1/2"" 3PC KO SEAL"," 100",C,$70.18 ,$35.09,,
A&G,,311,"3/4"" 3PC KO SEAL"," 100",C,$86.90 ,$43.45,,
A&G,,312,"1"" 3PC KO SEAL"," 50",C,$121.86 ,$60.93,,
A&G,,313,"1 1/4"" 3PC KO SEAL"," 50",C,$156.34 ,$78.17,,
A&G,,314,"1 1/2"" 3PC KO SEAL"," 50",C,$252.30 ,$126.15,,
A&G,,315,"2"" 3PC KO SEAL"," 50",C,$308.30 ,$154.15,,
A&G,,353,"3/8-16 TOP BEAM CLAMP 3/4""FLANGE"," 50",C,$157.92 ,$78.96,,
A&G,,354,"3/8-16 TOP BEAM CLAMP 1 1/4"" FLANGE"," 50",C,$294.84 ,$147.42,,
